2def2ef,CVE-2014-0038,net/compat.c,compat_sys_recvmmsg,,,,,,,,,,
3b56496,CVE-2013-6885,arch/x86/include/uapi/asm/msr-index.h,,,,,,,,,,,
3b56496,CVE-2013-6885,arch/x86/kernel/cpu/amd.c,early_init_amd,,,,,,,,,,
657eb17,CVE-2013-4579,drivers/net/wireless/ath/ath9k/htc_drv_main.c,ath9k_htc_bssid_iter,ath9k_htc_set_mac_bssid_mask,ath9k_htc_add_interface,ath9k_htc_remove_interface,,,,,,,
657eb17,CVE-2013-4579,drivers/net/wireless/ath/ath9k/main.c,ath9k_calculate_iter_data,,,,,,,,,,
17d68b7,CVE-2013-6376,arch/x86/kvm/lapic.c,recalculate_apic_map,,,,,,,,,,
fda4e2e,CVE-2013-6368,arch/x86/kvm/lapic.c,kvm_lapic_sync_from_vapic,,,,,,,,,,
fda4e2e,CVE-2013-6368,arch/x86/kvm/lapic.h,kvm_lapic_set_vapic_addr,,,,,,,,,,
fda4e2e,CVE-2013-6368,arch/x86/kvm/x86.c,kvm_arch_vcpu_ioctl,vapic_enter,vapic_exit,__vcpu_run,,,,,,,
b963a22,CVE-2013-6367,arch/x86/kvm/lapic.c,apic_get_tmcct,,,,,,,,,,
338c7db,CVE-2013-4587,virt/kvm/kvm_main.c,kvm_vm_ioctl_create_vcpu,,,,,,,,,,
d049f74,CVE-2013-2929,arch/ia64/include/asm/processor.h,start_thread,,,,,,,,,,
d049f74,CVE-2013-2929,fs/exec.c,,,,,,,,,,,
d049f74,CVE-2013-2929,include/linux/binfmts.h,,,,,,,,,,,
d049f74,CVE-2013-2929,include/linux/sched.h,,,,,,,,,,,
d049f74,CVE-2013-2929,kernel/ptrace.c,__ptrace_may_access,,,,,,,,,,
786235ee,CVE-2012-4398,kernel/kthread.c,kthread,create_kthread,kthread_create_on_node,,,,,,,,
12ae030,CVE-2013-2930,kernel/trace/trace_event_perf.c,perf_trace_event_perm,,,,,,,,,,
e9c6a18,CVE-2013-4299,drivers/md/dm-snap-persistent.c,skip_metadata,read_exceptions,persistent_prepare_exception,,,,,,,,
58f09e0,CVE-2013-2147,drivers/block/cciss.c,cciss_ioctl32_passthru,,,,,,,,,,
627aad1,CVE-2013-2147,drivers/block/cpqarray.c,ida_locked_ioctl,,,,,,,,,,
8821f5d,CVE-2013-2897,drivers/hid/hid-multitouch.c,mt_feature_mapping,mt_touch_input_mapping,,,,,,,,,
297502a,CVE-2013-2895,drivers/hid/hid-logitech-dj.c,logi_dj_recv_send_report,logi_dj_probe,,,,,,,,,
cc6b54a,CVE-2013-2897,drivers/hid/hid-core.c,hid_register_field,hid_add_field,hid_report_raw_event,,,,,,,,
cc6b54a,CVE-2013-2897,drivers/hid/hid-input.c,hidinput_configure_usage,report_features,,,,,,,,,
0a9cd0a,CVE-2013-2894,drivers/hid/hid-lenovo-tpkbd.c,tpkbd_probe_tp,,,,,,,,,,
0fb6bd0,CVE-2013-2893,drivers/hid/hid-lg2ff.c,lg2ff_init,,,,,,,,,,
0fb6bd0,CVE-2013-2893,drivers/hid/hid-lg3ff.c,hid_lg3ff_play,lg3ff_init,,,,,,,,,
0fb6bd0,CVE-2013-2893,drivers/hid/hid-lg4ff.c,lg4ff_init,,,,,,,,,,
0fb6bd0,CVE-2013-2893,drivers/hid/hid-lgff.c,lgff_init,,,,,,,,,,
41df7f6,CVE-2013-2891,drivers/hid/hid-steelseries.c,steelseries_srws1_probe,,,,,,,,,,
9446edb,CVE-2013-2890,drivers/hid/hid-sony.c,buzz_init,,,,,,,,,,
78214e8,CVE-2013-2889,drivers/hid/hid-zpff.c,zpff_init,,,,,,,,,,
1e87a24,CVE-2013-2899,drivers/hid/hid-picolcd_core.c,picolcd_operation_mode_store,,,,,,,,,,
9e89102,CVE-2013-2898,drivers/hid/hid-sensor-hub.c,sensor_hub_get_feature,,,,,,,,,,
875b4e3,CVE-2013-2896,drivers/hid/hid-ntrig.c,ntrig_get_mode,,,,,,,,,,
412f301,CVE-2013-2892,drivers/hid/hid-pl.c,plff_init,,,,,,,,,,
4362202,CVE-2013-2888,drivers/hid/hid-core.c,hid_register_report,hid_parser_global,hid_close_report,,,,,,,,
4362202,CVE-2013-2888,include/linux/hid.h,,,,,,,,,,,
4b08a8f,CVE-2013-0343,net/ipv6/addrconf.c,ipv6_create_tempaddr,,,,,,,,,,
ffc8b30,CVE-2013-2851,block/genhd.c,register_disk,,,,,,,,,,
ffc8b30,CVE-2013-2851,drivers/block/nbd.c,__nbd_ioctl,,,,,,,,,,
ffc8b30,CVE-2013-2851,drivers/scsi/osd/osd_uld.c,osd_probe,,,,,,,,,,
2cb33ca,CVE-2013-1059,net/ceph/auth_none.c,build_request,,,,,,,,,,
e0e29b68,CVE-2013-2852,drivers/net/wireless/b43/main.c,b43_request_firmware,,,,,,,,,,
604c499,CVE-2013-2140,drivers/block/xen-blkback/blkback.c,dispatch_discard_io,,,,,,,,,,
cea4dcf,CVE-2013-2850,drivers/target/iscsi/iscsi_target_parameters.c,iscsi_add_notunderstood_response,iscsi_decode_text_input,,,,,,,,,
cea4dcf,CVE-2013-2850,drivers/target/iscsi/iscsi_target_parameters.h,,,,,,,,,,,
a2c118b,CVE-2013-1798,virt/kvm/ioapic.c,ioapic_read_indirect,,,,,,,,,,
0b79459,CVE-2013-1797,arch/x86/include/asm/kvm_host.h,,,,,,,,,,,
0b79459,CVE-2013-1797,arch/x86/kvm/x86.c,kvm_guest_time_update,kvmclock_reset,kvm_set_msr_common,kvm_set_guest_paused,kvm_arch_vcpu_init,,,,,,
c300aa6,CVE-2013-1796,arch/x86/kvm/x86.c,kvm_set_msr_common,,,,,,,,,,
3118a4f,CVE-2013-0913,drivers/gpu/drm/i915/i915_gem_execbuffer.c,validate_exec_list,,,,,,,,,,
0da9dfd,CVE-2013-1792,security/keys/process_keys.c,install_user_keyrings,,,,,,,,,,
b0de59b,CVE-2013-0160,drivers/tty/tty_io.c,tty_read,do_tty_write,,,,,,,,,
13d2b4d,CVE-2013-0228,arch/x86/xen/xen-asm_32.S,,,,,,,,,,,
51ac889,CVE-2013-0231,drivers/xen/xen-pciback/pciback_ops.c,xen_pcibk_enable_msi,xen_pcibk_enable_msix,,,,,,,,,
9174adb,CVE-2013-0190,arch/x86/kernel/entry_32.S,,,,,,,,,,,
6d1068b,CVE-2012-4461,arch/x86/kvm/cpuid.h,guest_cpuid_has_xsave,,,,,,,,,,
6d1068b,CVE-2012-4461,arch/x86/kvm/x86.c,kvm_arch_vcpu_ioctl_set_sregs,,,,,,,,,,
2702b15,CVE-2012-0957,kernel/sys.c,override_release,,,,,,,,,,
e0e3cea,CVE-2012-3520,include/net/scm.h,scm_send,,,,,,,,,,
e0e3cea,CVE-2012-3520,net/netlink/af_netlink.c,netlink_sendmsg,,,,,,,,,,
e0e3cea,CVE-2012-3520,net/unix/af_unix.c,unix_dgram_sendmsg,unix_stream_sendmsg,,,,,,,,,
7e6d06f,CVE-2012-3412,drivers/net/ethernet/sfc/efx.c,efx_probe_all,efx_register_netdev,,,,,,,,,
7e6d06f,CVE-2012-3412,drivers/net/ethernet/sfc/efx.h,efx_tx_max_skb_descs,,,,,,,,,,
7e6d06f,CVE-2012-3412,drivers/net/ethernet/sfc/ethtool.c,efx_ethtool_set_ringparam,,,,,,,,,,
7e6d06f,CVE-2012-3412,drivers/net/ethernet/sfc/tx.c,efx_tx_max_skb_descs,,,,,,,,,,
30b678d,CVE-2012-3412,include/linux/netdevice.h,,,,,,,,,,,
30b678d,CVE-2012-3412,net/core/dev.c,netif_skb_features,,,,,,,,,,
9520628,CVE-2006-2451,Documentation/sysctl/fs.txt,,,,,,,,,,,
9520628,CVE-2006-2451,fs/exec.c,do_coredump,,,,,,,,,,
bcc2c9c,CVE-2012-2669,tools/hv/hv_kvp_daemon.c,main,,,,,,,,,,
e6d9668,CVE-2009-0029,arch/tile/Kconfig,,,,,,,,,,,
1a5a990,CVE-2012-1179,arch/x86/kernel/vm86_32.c,mark_screen_rdonly,,,,,,,,,,
1a5a990,CVE-2012-1179,fs/proc/task_mmu.c,smaps_pte_range,clear_refs_pte_range,pagemap_pte_range,gather_pte_stats,,,,,,,
1a5a990,CVE-2012-1179,include/asm-generic/pgtable.h,pmd_none_or_trans_huge_or_clear_bad,pmd_trans_unstable,,,,,,,,,
1a5a990,CVE-2012-1179,mm/memcontrol.c,mem_cgroup_count_precharge_pte_range,,,,,,,,,,
1a5a990,CVE-2012-1179,mm/memory.c,zap_pmd_range,,,,,,,,,,
1a5a990,CVE-2012-1179,mm/mempolicy.c,check_pmd_range,,,,,,,,,,
